timestamp,service,instance_id,metric_family,source,value
1776620284.122,ad,3a8b9295-6ae2-4e8a-b9b0-a607d7fec0a4,dependency_error_ratio,trace_client_error_ratio,0.0
1776620284.122,ad,3a8b9295-6ae2-4e8a-b9b0-a607d7fec0a4,error_ratio,trace_server_error_ratio,0.0
1776620284.122,ad,3a8b9295-6ae2-4e8a-b9b0-a607d7fec0a4,request_count,trace_server_count,0.0
1776620284.122,ad,5680c7ee-584c-4353-b6d2-93bc605a0324,dependency_error_ratio,trace_client_error_ratio,0.0
1776620284.122,ad,5680c7ee-584c-4353-b6d2-93bc605a0324,error_ratio,trace_server_error_ratio,0.0
1776620284.122,ad,5680c7ee-584c-4353-b6d2-93bc605a0324,request_count,trace_server_count,0.0
1776620284.122,ad,9f9a3c1c-bd3f-40ea-8764-b59f1ebd2204,dependency_error_ratio,trace_client_error_ratio,0.0
1776620284.122,ad,ad-7fb5b4f859-52ks9,cpu_usage,container_cpu_usage,0.0021736223431963173
1776620284.122,ad,ad-7fb5b4f859-52ks9,memory_usage,container_memory_working_set_bytes,260636672.0
1776620284.122,ad,ad-7fb5b4f859-rd4zw,cpu_usage,container_cpu_usage,0.00125628331163046
1776620284.122,ad,ad-7fb5b4f859-rd4zw,memory_usage,container_memory_working_set_bytes,244797440.0
1776620284.122,ad,ad-7fb5b4f859-zsstr,cpu_usage,container_cpu_usage,0.0025639281388919175
1776620284.122,ad,ad-7fb5b4f859-zsstr,memory_usage,container_memory_working_set_bytes,266469376.0
1776620284.122,ad,ad::service,pod_restart_count,k8s_container_restarts,3.0
1776620284.122,ad,ad::service,pod_running_count,k8s_container_ready,3.0
1776620284.122,cart,cart-7c7496d7f-th7mc,cpu_usage,container_cpu_usage,0.037355847311316644
1776620284.122,cart,cart-7c7496d7f-th7mc,memory_usage,container_memory_working_set_bytes,65417216.0
1776620284.122,cart,cart::service,pod_restart_count,k8s_container_restarts,1.0
1776620284.122,cart,cart::service,pod_running_count,k8s_container_ready,1.0
1776620284.122,cart,f1f3afac-3031-4c18-925a-048232421d89,dependency_error_ratio,trace_client_error_ratio,0.0
1776620284.122,cart,f1f3afac-3031-4c18-925a-048232421d89,error_ratio,trace_server_error_ratio,0.0
1776620284.122,cart,f1f3afac-3031-4c18-925a-048232421d89,request_count,trace_server_count,0.0
1776620284.122,checkout,4755bdbd-5ad9-49fa-acb7-3a7dcb6a9277,dependency_error_ratio,trace_client_error_ratio,0.0
1776620284.122,checkout,4755bdbd-5ad9-49fa-acb7-3a7dcb6a9277,error_ratio,trace_server_error_ratio,0.0
1776620284.122,checkout,4755bdbd-5ad9-49fa-acb7-3a7dcb6a9277,request_count,trace_server_count,0.0
1776620284.122,checkout,bb49e6b9-109a-41b8-be66-ab2a38272474,dependency_error_ratio,trace_client_error_ratio,0.0
1776620284.122,checkout,bb49e6b9-109a-41b8-be66-ab2a38272474,error_ratio,trace_server_error_ratio,0.0
1776620284.122,checkout,bb49e6b9-109a-41b8-be66-ab2a38272474,request_count,trace_server_count,0.0
1776620284.122,checkout,bc5804df-6f63-4261-8788-8ecfe5481366,dependency_error_ratio,trace_client_error_ratio,0.0
1776620284.122,checkout,bc5804df-6f63-4261-8788-8ecfe5481366,error_ratio,trace_server_error_ratio,0.0
1776620284.122,checkout,bc5804df-6f63-4261-8788-8ecfe5481366,request_count,trace_server_count,0.0
1776620284.122,checkout,checkout-7f4ccfc547-6crwh,cpu_usage,container_cpu_usage,0.08828033783770435
1776620284.122,checkout,checkout-7f4ccfc547-6crwh,memory_usage,container_memory_working_set_bytes,16703488.0
1776620284.122,checkout,checkout-7f4ccfc547-ftx2n,cpu_usage,container_cpu_usage,0.0005137355948709611
1776620284.122,checkout,checkout-7f4ccfc547-ftx2n,memory_usage,container_memory_working_set_bytes,12075008.0
1776620284.122,checkout,checkout-7f4ccfc547-qlfgr,cpu_usage,container_cpu_usage,0.00044690134763538444
1776620284.122,checkout,checkout-7f4ccfc547-qlfgr,memory_usage,container_memory_working_set_bytes,11964416.0
1776620284.122,checkout,checkout::service,pod_restart_count,k8s_container_restarts,81.0
1776620284.122,checkout,checkout::service,pod_running_count,k8s_container_ready,3.0
1776620284.122,email,email-5dcf48b665-66zvj,cpu_usage,container_cpu_usage,0.0020847527952503452
1776620284.122,email,email-5dcf48b665-66zvj,memory_usage,container_memory_working_set_bytes,58806272.0
1776620284.122,email,email-5dcf48b665-74hbf,cpu_usage,container_cpu_usage,0.010489682659805839
1776620284.122,email,email-5dcf48b665-74hbf,memory_usage,container_memory_working_set_bytes,56676352.0
1776620284.122,email,email-5dcf48b665-9xxmx,cpu_usage,container_cpu_usage,0.0004415051578599297
