row,field_fs_at1,bench_sm_at1,source_kind,condition,source_file,source_line_or_check,note
TF-IDF,24/30,153/200,retriever check,same four-field record,paper-tables/table-iii-label-retriever-check/base/retriever_summary.csv,"Triage-Field TF-IDF four-field record; Triage-Bench TF-IDF four-field record","Default retriever under the same paper table evaluation path used by Tables IV--V."
BM25,22/30,157/200,retriever check,same four-field record,paper-tables/table-iii-label-retriever-check/base/retriever_summary.csv,"Triage-Field BM25 four-field record; Triage-Bench BM25 four-field record","Auxiliary retriever row under the same paper table evaluation path."
Dense MiniLM,21/30,156/200,retriever check,same four-field record,paper-tables/table-iii-label-retriever-check/base/retriever_summary.csv,"Triage-Field Dense MiniLM four-field record; Triage-Bench Dense MiniLM four-field record","Auxiliary learned-retrieval row under the same paper table evaluation path."
ColBERT,18/30,151/200,retriever check,same four-field record,paper-tables/table-iii-label-retriever-check/base/retriever_summary.csv,"Triage-Field ColBERT four-field record; Triage-Bench ColBERT four-field record","Auxiliary learned-retrieval row under the same paper table evaluation path."
