case_public_id,field_name,service_alias,service_layer,metric_family,direction,magnitude_bucket,relative_offset_bucket,order_rank,serialized_expression
O10,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S01 application_service cpu_usage
O10,change_order,S01,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S01 application_service request_count
O10,change_order,S02,storage_dependency,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S02 storage_dependency request_count
O10,change_order,S05,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S05 application_service request_count
O10,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,5,5 S04 application_service request_count
O11,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O11,maximum_change,S01,application_service,latency_p95,up,extreme,not_applicable,,S01 application_service latency_p95 up extreme
O11,earliest_abnormal,S01,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S01 application_service cpu_usage up medium
O11,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S01 application_service cpu_usage
O11,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S02 storage_dependency cpu_usage
O11,change_order,S01,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S01 application_service request_count
O11,change_order,S02,storage_dependency,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S02 storage_dependency request_count
O11,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,5,5 S04 application_service request_count
O12,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O12,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O12,earliest_abnormal,S02,storage_dependency,request_count,down,medium,anchor-30m_to_anchor-20m,,S02 storage_dependency request_count down medium
O12,change_order,S02,storage_dependency,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S02 storage_dependency request_count
O12,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S04 application_service request_count
O12,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S06 datastore db_cpu_utilization
O12,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,4,4 S01 application_service cpu_usage
O12,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,5,5 S03 storage_dependency cpu_usage
O13,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O13,maximum_change,S01,application_service,http_5xx_count,down,extreme,not_applicable,,S01 application_service http_5xx_count down extreme
O13,earliest_abnormal,S05,application_service,cpu_usage,down,medium,anchor-30m_to_anchor-20m,,S05 application_service cpu_usage down medium
O13,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S05 application_service cpu_usage
