case_public_id,field_name,service_alias,service_layer,metric_family,direction,magnitude_bucket,relative_offset_bucket,order_rank,serialized_expression
O19,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S04 application_service cpu_usage
O19,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S06 datastore db_cpu_utilization
O19,change_order,S05,application_service,memory_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,5,5 S05 application_service memory_usage
O20,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O20,maximum_change,S02,storage_dependency,http_5xx_count,up,extreme,not_applicable,,S02 storage_dependency http_5xx_count up extreme
O20,earliest_abnormal,S05,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S05 application_service cpu_usage up medium
O20,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S05 application_service cpu_usage
O20,change_order,S04,application_service,http_5xx_count,not_applicable,not_applicable,anchor-20m_to_anchor-10m,2,2 S04 application_service http_5xx_count
O20,change_order,S05,application_service,memory_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,3,3 S05 application_service memory_usage
O20,change_order,S04,application_service,latency_p95,not_applicable,not_applicable,alert_anchor,4,4 S04 application_service latency_p95
O20,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,alert_anchor,5,5 S01 application_service latency_p95
O21,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O21,maximum_change,S03,storage_dependency,http_4xx_count,up,extreme,not_applicable,,S03 storage_dependency http_4xx_count up extreme
O21,earliest_abnormal,S04,application_service,request_count,down,medium,anchor-30m_to_anchor-20m,,S04 application_service request_count down medium
O21,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S04 application_service request_count
O21,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S06 datastore db_cpu_utilization
O21,change_order,S05,application_service,memory_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,3,3 S05 application_service memory_usage
O21,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,4,4 S04 application_service cpu_usage
O21,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,5,5 S05 application_service cpu_usage
O22,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O22,maximum_change,S04,application_service,latency_p95,up,extreme,not_applicable,,S04 application_service latency_p95 up extreme
O22,earliest_abnormal,S05,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S05 application_service cpu_usage up medium
O22,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S05 application_service cpu_usage
O22,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S04 application_service cpu_usage
O22,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,3,3 S01 application_service cpu_usage
O22,change_order,S05,application_service,memory_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,4,4 S05 application_service memory_usage
O22,change_order,S03,storage_dependency,http_4xx_count,not_applicable,not_applicable,anchor-20m_to_anchor-10m,5,5 S03 storage_dependency http_4xx_count
O23,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O23,maximum_change,S04,application_service,latency_p95,down,extreme,not_applicable,,S04 application_service latency_p95 down extreme
O23,earliest_abnormal,S05,application_service,latency_p99,up,medium,anchor-30m_to_anchor-20m,,S05 application_service latency_p99 up medium
