case_id,family_id,metric_row_index,change_order_rank,is_dominant,is_earliest,service,metric_family,earliest_offset_min,peak_offset_min,baseline_mean,baseline_std,earliest_value,earliest_delta_pct,earliest_residual_z,peak_value,peak_delta,peak_delta_pct,peak_residual_z,sustained_trigger_points,rank_score
S01_ad_high_cpu_run_01,S01_ad_high_cpu,28,,false,false,payment,pod_restart_count,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,29,,false,false,payment,pod_running_count,,-9.500,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,30,,false,false,product-catalog,cpu_usage,-6.333,-3.500,0.0300766620425,0.00742102895296,0.0237471506342,-21.044593976,-0.852915606245,0.0188831435092,-0.0111935185334,-37.2166250282,-1.50835128178,17,1.14170037495
S01_ad_high_cpu_run_01,S01_ad_high_cpu,31,,false,false,product-catalog,memory_usage,,-2.833,13031718.1572,651585.907859,,,,12673024,-358694.157182,-2.75247018739,-0.550494037479,0,0.108080329358
S01_ad_high_cpu_run_01,S01_ad_high_cpu,32,,false,false,product-catalog,pod_restart_count,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,33,,false,false,product-catalog,pod_running_count,,-9.500,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,34,,false,false,recommendation,cpu_usage,-0.333,-0.167,0.0164776485261,0.00140184487537,0.0196694050994,19.3702188044,2.27682579536,0.0213129387653,0.00483529023924,29.344540464,3.44923345244,2,1.57944094629
S01_ad_high_cpu_run_01,S01_ad_high_cpu,35,,false,false,recommendation,memory_usage,,-0.333,49491224.2818,2474561.21409,,,,49429162.6667,-62061.6151761,-0.125399232039,-0.0250798464078,0,0.00492400984473
S01_ad_high_cpu_run_01,S01_ad_high_cpu,36,,false,false,recommendation,pod_restart_count,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,37,,false,false,recommendation,pod_running_count,,-9.500,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,38,,false,false,ad,dependency_error_ratio,-8.667,-8.667,0.016393442623,0.0940144837928,0.666666666667,3966.66666667,6.91673450526,0.666666666667,0.650273224044,3966.66666667,6.91673450526,2,4.05711419989
S01_ad_high_cpu_run_01,S01_ad_high_cpu,39,,false,false,ad,error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,40,5,false,false,ad,request_count,-9.500,-8.667,1.34549180328,3.02767294248,0,-100,-0.444398000986,9.25,7.90450819672,587.480962534,2.61075365367,57,1.90193588214
S01_ad_high_cpu_run_01,S01_ad_high_cpu,41,,false,false,cart,dependency_error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,42,,false,false,cart,error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,43,2,false,false,cart,request_count,-9.500,-1.000,15.943442623,35.9120510111,0,-100,-0.443958007802,110.4,94.456557377,592.447689065,2.63021895764,57,2.5466204267
S01_ad_high_cpu_run_01,S01_ad_high_cpu,44,,false,false,checkout,dependency_error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,45,,false,false,checkout,error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,46,,false,false,checkout,request_count,-9.500,-1.000,0.175273224044,0.459531883488,0,-100,-0.381416894761,2.01666666667,1.84139344262,1050.58456742,4.00710703389,57,0.991172660592
S01_ad_high_cpu_run_01,S01_ad_high_cpu,47,,false,false,email,error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,48,,false,false,email,request_count,-9.500,-1.000,0.586338797814,1.33535880375,0,-100,-0.439087079942,4.06666666667,3.48032786885,593.5694315,2.6062866842,57,1.14005595434
S01_ad_high_cpu_run_01,S01_ad_high_cpu,49,,false,false,frontend,dependency_error_ratio,,-9.500,0.000549629990886,0.0044804862791,,,,0,-0.000549629990886,-100,-0.122671950464,0,0.0538723606192
S01_ad_high_cpu_run_01,S01_ad_high_cpu,50,,false,false,frontend,error_ratio,,-9.500,0.000643240428947,0.00510813365824,,,,0,-0.000643240428947,-100,-0.125924745119,0,0.0566702859427
